,stationid,row,col,arcid,origin
437,6667400,11094,12600,35338,calstation
438,6688150,10356,13319,33295,calstation
439,6688600,10200,14601,32951,calstation
440,6688650,10320,14792,33308,calstation
441,6688900,10200,16011,32961,calstation
442,6691650,11279,14571,35683,calstation
443,6695200,10860,15240,34703,calstation
444,6695250,10679,15270,34021,calstation
445,6695400,10869,15600,34706,calstation
446,6730500,3342,12719,6066,calstation
447,6731310,5788,8377,17405,both
448,6731400,5853,8668,17407,both
449,6731401,5629,8879,16441,calstation
450,6742450,9567,11879,30738,calstation
451,6742700,9225,12602,29561,both
452,6742800,9436,12703,30355,both
453,6742900,9306,12891,29959,both
454,6744200,9081,11117,29148,both
455,6744500,8691,11490,27900,both
456,6842400,9640,11639,31124,calstation
457,6842800,9600,12298,31130,calstation
458,6842900,9564,12599,30744,calstation
459,6854100,5457,11400,15950,calstation
460,6854500,4560,12124,12169,calstation
461,6854600,4477,12240,11593,calstation
462,6854700,4319,11934,10402,calstation
463,6854701,4207,12568,10407,both
464,6854710,4163,12119,9801,calstation
465,6855200,5639,12459,16465,calstation
466,6855250,5279,12171,14915,calstation
467,6855400,5519,12955,15962,calstation
468,6855401,5094,13236,14381,both
469,6855402,5146,12667,14376,both
470,6864050,10199,11581,32577,calstation
471,6865500,10079,12213,32233,calstation
472,6935054,8740,7994,27871,both
473,6935302,8818,7868,28287,both
474,6939050,9084,7432,29116,both
475,6944250,8615,11520,27470,calstation
476,6970100,4815,15120,13320,calstation
477,6970102,5211,15479,14942,calstation
478,6970103,5400,15348,15981,calstation
479,6970250,4761,16055,12769,both
480,6970251,4957,16080,13873,calstation
481,6970252,5280,16833,15481,calstation
482,6970270,5160,16272,14949,calstation
483,6970272,5520,16124,16493,calstation
484,6970400,4628,16434,12202,both
485,6970402,4937,17160,13882,calstation
486,6970460,5618,16919,16499,calstation
487,6970462,5879,15598,17455,calstation
488,6970500,4554,16953,12207,both
489,6970501,4800,17640,13341,calstation
490,6970520,4680,17082,12778,calstation
491,6970560,4381,16920,11044,calstation
492,6970680,5428,17400,15999,calstation
493,6970681,5281,18120,15492,calstation
494,6970682,5323,18840,15498,calstation
495,6970700,3937,18526,8701,both
496,6970701,4449,18509,11640,both
497,6970702,4319,19237,10463,calstation
498,6970703,4680,19879,12801,calstation
499,6970704,5040,19467,14433,calstation
500,6970720,5279,18125,14965,calstation
501,6970770,5604,17280,16503,calstation
502,6970810,4452,18359,11638,calstation
503,6970850,4200,20296,10472,calstation
504,6970851,4300,20759,10475,calstation
505,6970901,4705,18840,12793,calstation
506,6971130,3680,13679,7553,calstation
507,6971400,3600,14568,7561,calstation
508,6971450,4046,15839,9257,calstation
509,6972135,4680,14325,12756,calstation
510,6972350,5906,12768,17877,both
511,6972430,5799,13327,17437,both
512,6972610,5519,14356,15973,calstation
513,6972801,4570,14323,12187,calstation
514,6973300,6752,12363,20818,both
515,6974150,6943,11417,21238,both
516,6975010,6230,15359,18765,calstation
517,6975080,6600,14386,20417,calstation
518,6975110,6818,16096,21275,both
519,6975140,7085,14879,22155,calstation
520,6975200,6828,17061,21284,both
521,6975500,6239,16566,18776,calstation
522,6976100,6791,18544,20869,both
523,6976200,6104,18000,18367,calstation
524,6976400,6840,19250,21302,calstation
525,6976450,7037,19436,21745,both
526,6977100,8519,16738,27083,calstation
527,6978250,8759,15733,27935,calstation
528,6978251,8211,15873,25774,both
529,6978500,8196,16320,26207,calstation
530,6979500,7679,13043,23969,calstation
531,6979600,7869,13440,24880,calstation
532,6980300,8759,13540,27916,calstation
533,6980800,8655,14427,27494,both
534,6980801,8049,13327,25755,both
535,6980802,8942,13920,28759,calstation
536,6981800,8927,13079,28751,calstation
537,6983355,9352,15349,30370,both
538,6985320,10034,16080,32244,calstation
539,6990700,10679,17759,34041,calstation
540,28704,8880,7399,28704,calstation
541,29115,9119,7272,29115,calstation
542,29517,9163,7200,29517,calstation
543,NO_0000203,1217,8844,1688,mmprocessedstation
544,NO_0000204,1359,9911,1910,mmprocessedstation
545,2903430,2794,36429,4758,mmprocessedstation
546,2999150,2885,33372,5048,mmprocessedstation
547,2998110,3178,38657,5801,mmprocessedstation
548,2903420,3190,36568,5783,mmprocessedstation
549,6830510,3379,12485,6516,mmprocessedstation
550,NO_0000175,3424,10764,6501,mmprocessedstation
551,NO_0000185,3455,13319,6522,mmprocessedstation
552,2998400,3459,41413,6701,mmprocessedstation
553,RU_0000224,3485,13631,7028,mmprocessedstation
554,RU_0000419,3505,27190,7095,mmprocessedstation
555,FI_0000059,3606,12427,7543,mmprocessedstation
