grdc/arcid,row,col,arcid
6970700,3917,18599,8701
6970701,4440,18509,11640
6970702,4319,19237,10463
6970703,4680,19879,12801
6970704,5040,19467,14433
6970720,5279,18125,14965
6970770,5604,17280,16503
6970810,4452,18359,11638
6970850,4200,20296,10472
6970851,4300,20759,10475
6970901,4705,18840,12793
6971130,3680,13679,7553
6971400,3600,14568,7561
6971450,4046,15839,9257
6972135,4680,14325,12756
6972350,5886,12730,17877
6972430,5797,13320,17437
6972610,5519,14356,15973
6972801,4570,14323,12187
6973300,6750,12360,20818
6974150,6935,11520,21238
6975010,6230,15359,18765
6975080,6600,14386,20417
6975110,6881,16079,21275
6975140,7085,14879,22155
6975200,6840,17105,21284
6975500,6239,16566,18776
6976100,6784,18480,20869
6976200,6104,18000,18367
6976400,6840,19250,21302
6976450,6960,19440,21745
6977100,8519,16738,27083
6978250,8759,15733,27935
6978251,8134,15719,25774
6978500,8196,16320,26207
6979500,7679,13043,23969
6979600,7869,13440,24880
6980300,8759,13540,27916
6980800,8639,14432,27494
6980801,8154,13439,25755
6980802,8942,13920,28759
6981800,8927,13079,28751
6983355,9360,15363,30370
6985320,10034,16080,32244
6990700,10679,17759,34041
28704,8880,7399,28704
29115,9119,7272,29115
29517,9163,7200,29517
NO_0000203,1217,8844,-99
NO_0000204,1359,9911,-99
2903420,3190,36568,-99
6830510,3379,12485,-99
NO_0000175,3424,10764,-99
NO_0000185,3455,13319,-99
RU_0000224,3485,13631,-99
RU_0000419,3505,27190,-99
FI_0000059,3606,12427,-99
FI_0000054,3624,12829,-99
FI_0000055,3633,12797,-99
2998800,3713,47790,-99
FI_0000057,3732,12225,-99
RU_0000095,3735,42813,-99
NO_0000120,3742,9769,-99
RU_0000469,3843,13890,-99
FI_0000051,3856,11677,-99
NO_0000124,3875,9719,-99
RU_0000234,3918,13979,-99
RU_0000468,3937,13463,-99
6970700,3937,18526,-99
RU_0000392,3942,38012,-99
NO_0000156,3951,9569,-99
NO_0000200,4008,9502,-99
SE_0000090,4025,11603,-99
SE_0000089,4035,11660,-99
6971451,4049,15519,-99
RU_0000457,4078,18270,-99
RU_0000236,4090,13288,-99
RU_0000467,4111,13407,-99
6971150,4150,14237,-99
RU_0000081,4172,21962,-99
RU_0000104,4174,25744,-99
RU_0000230,4194,15730,-99
6854701,4207,12568,-99
NO_0000113,4215,9324,-99
RU_0000476,4217,17577,-99
6233785,4220,11204,-99
RU_0000133,4221,14782,-99
NO_0000152,4223,9156,-99
FI_0000095,4230,13035,-99
NO_0000151,4259,9847,-99
SE_0000037,4287,11477,-99
SE_0000087,4291,11593,-99
NO_0000115,4297,9144,-99
IS_0000001,4315,2050,-99
6233780,4315,11271,-99
NO_0000117,4325,9014,-99
SE_0000036,4328,11769,-99
RU_0000442,4337,22520,-99
6731610,4343,9186,-99
6233755,4358,11086,-99
6233520,4380,9693,-99
FI_0000094,4399,12014,-99
RU_0000455,4399,15700,-99
FI_0000093,4409,12062,-99
IS_0000020,4410,2114,-99
6731601,4411,9188,-99
6233680,4429,10198,-99
6731600,4441,9411,-99
6970701,4449,18509,-99
RU_0000449,4469,14203,-99
6401200,4480,1416,-99
RU_0000237,4500,13445,-99
FI_0000050,4514,12097,-99
RU_0000115,4549,16434,-99
6970500,4554,16953,-99
IS_0000021,4557,2088,-99
RU_0000477,4571,14309,-99
RU_0000416,4572,29735,-99
RU_0000451,4576,14275,-99
NO_0000163,4579,9244,-99
RU_0000443,4585,24618,-99
